City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
53,Cabra,ES,2022-01-21 16:27:55,37.4725,-4.4421,57.18,41,5,1.01
54,Kharp,RU,2022-01-21 16:27:56,66.8014,65.8081,1.56,99,99,3.0
55,Kapaa,US,2022-01-21 16:27:56,22.0752,-159.319,66.52,94,0,9.22
56,Qasigiannguit,GL,2022-01-21 16:27:56,68.8193,-51.1922,12.45,89,100,7.58
57,Hobart,AU,2022-01-21 16:25:30,-42.8794,147.3294,57.06,87,0,6.91
58,Kelme,LT,2022-01-21 16:27:57,55.6339,22.9342,30.22,80,98,19.66
59,Alice Springs,AU,2022-01-21 16:27:57,-23.7,133.8833,72.95,98,100,3.0
60,Sri Aman,MY,2022-01-21 16:27:58,1.2376,111.4621,77.05,94,99,0.0
61,Saint George,US,2022-01-21 16:27:58,37.1041,-113.5841,41.47,69,100,3.44
62,Bandarbeyla,SO,2022-01-21 16:27:58,9.4942,50.8122,76.84,75,72,21.23
63,Isangel,VU,2022-01-21 16:27:59,-19.55,169.2667,79.36,89,90,7.63
64,Pita,GN,2022-01-21 16:27:59,10.8333,-12.5833,95.0,10,41,5.53
65,Preobrazheniye,RU,2022-01-21 16:28:00,42.9019,133.9064,16.03,50,9,5.1
66,Bereda,ES,2022-01-21 16:28:00,43.2686,-7.5406,49.75,68,53,9.24
67,Empalme,MX,2022-01-21 16:28:00,27.9667,-110.8167,65.35,55,0,4.61
68,Torbay,CA,2022-01-21 16:28:01,47.6666,-52.7314,31.75,96,100,10.36
69,Husavik,IS,2022-01-21 16:28:01,66.0449,-17.3389,39.11,60,23,26.15
70,Belyy Yar,RU,2022-01-21 16:28:01,53.6039,91.3903,-12.14,95,100,0.0
71,Avarua,CK,2022-01-21 16:24:53,-21.2078,-159.775,80.65,89,100,17.27
72,Pangai,TO,2022-01-21 16:28:02,-19.8,-174.35,81.28,74,70,17.34
73,Chuy,UY,2022-01-21 16:28:02,-33.6971,-53.4616,88.84,55,23,12.01
74,Carthage,TN,2022-01-21 16:28:03,36.8611,10.3316,55.26,71,75,9.22
75,Ancud,CL,2022-01-21 16:28:03,-41.8697,-73.8203,62.42,73,99,13.31
76,Belgrade,RS,2022-01-21 16:28:03,44.804,20.4651,31.66,64,0,1.99
77,Mar Del Plata,AR,2022-01-21 16:28:04,-38.0023,-57.5575,77.88,82,100,8.99
78,Tiksi,RU,2022-01-21 16:28:04,71.6872,128.8694,-13.43,95,74,7.99
79,Murygino,RU,2022-01-21 16:28:04,58.7383,49.4582,13.98,91,100,8.7
80,Susangerd,IR,2022-01-21 16:28:05,31.5608,48.1831,46.42,31,0,10.85
81,Ribeira Grande,PT,2022-01-21 16:28:05,38.5167,-28.7,66.6,68,20,9.22
82,Kruisfontein,ZA,2022-01-21 16:28:06,-34.0033,24.7314,74.88,64,16,15.5
83,Fernie,CA,2022-01-21 16:25:20,49.5,-115.0687,23.36,97,100,3.31
84,Bethel,US,2022-01-21 16:28:06,41.3712,-73.414,19.65,56,0,1.01
85,Arraial Do Cabo,BR,2022-01-21 16:24:46,-22.9661,-42.0278,87.76,70,20,13.8
86,Puerto Ayora,EC,2022-01-21 16:23:30,-0.7393,-90.3518,80.56,81,55,8.86
87,Leningradskiy,RU,2022-01-21 16:28:07,69.3833,178.4167,-29.72,87,3,4.34
88,Haines Junction,CA,2022-01-21 16:28:07,60.7522,-137.5108,30.15,93,100,5.75
89,Kendari,ID,2022-01-21 16:28:07,-3.945,122.4989,75.25,89,100,2.55
90,Airai,TL,2022-01-21 16:28:08,-8.9266,125.4092,59.63,92,100,3.51
91,Tautira,PF,2022-01-21 16:28:08,-17.7333,-149.15,77.02,81,100,16.89
92,Bredasdorp,ZA,2022-01-21 16:28:08,-34.5322,20.0403,79.29,64,0,19.57
93,Hualmay,PE,2022-01-21 16:29:09,-11.0964,-77.6139,75.52,74,78,7.85
94,Qaanaaq,GL,2022-01-21 16:29:09,77.484,-69.3632,-1.79,95,100,11.79
95,Chokurdakh,RU,2022-01-21 16:24:14,70.6333,147.9167,-41.17,100,69,4.05
96,Wattegama,LK,2022-01-21 16:29:10,6.7989,81.4808,68.34,84,84,2.08
97,New Norfolk,AU,2022-01-21 16:29:10,-42.7826,147.0587,56.71,72,0,2.19
98,Port Said,EG,2022-01-21 16:26:02,31.2565,32.2841,56.59,53,24,7.16
99,Yenagoa,NG,2022-01-21 16:29:11,4.9247,6.2642,95.0,19,99,5.64
