City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
126,Sovetskiy,RU,61.3614,63.5842,12.7,98,98,2.42,overcast clouds
127,Portland,US,45.5234,-122.6762,54.16,75,20,1.99,few clouds
128,Nantucket,US,41.2835,-70.0995,30.31,80,75,17.27,broken clouds
129,Fairbanks,US,64.8378,-147.7164,21.31,83,40,0.0,scattered clouds
130,Avera,US,33.194,-82.5271,45.28,84,44,1.3,scattered clouds
131,Beckley,US,37.7782,-81.1882,31.68,59,0,6.91,clear sky
132,Rafsanjan,IR,30.4067,55.9939,39.13,24,0,4.65,clear sky
133,Zhigansk,RU,66.7697,123.3711,-7.62,98,100,14.63,light snow
134,Buin,CL,-33.7333,-70.75,84.52,29,0,10.78,clear sky
135,Viedma,AR,-40.8135,-62.9967,72.59,77,70,14.07,broken clouds
136,Sisimiut,GL,66.9395,-53.6735,6.15,72,100,17.22,overcast clouds
137,Barrow,US,71.2906,-156.7887,-9.38,70,100,17.27,haze
138,Ust-Kuyga,RU,70.0167,135.6,-12.98,97,100,7.67,overcast clouds
139,Karratha,AU,-20.7377,116.8463,85.23,64,55,2.75,broken clouds
140,La Ronge,CA,55.1001,-105.2842,-5.55,59,40,1.14,scattered clouds
141,Praia,CV,14.9215,-23.5087,72.14,83,75,11.5,broken clouds
142,Hobart,AU,-42.8794,147.3294,75.02,62,0,1.99,clear sky
143,Saint-Augustin,CA,51.226,-58.6502,-3.33,100,18,3.13,few clouds
144,Russell,US,32.3502,-85.1999,46.0,66,0,0.0,clear sky
145,Muros,ES,42.7762,-9.0603,44.98,85,3,5.59,clear sky
146,Taywarah,AF,33.35,64.4167,-2.72,62,1,5.73,clear sky
147,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,85,0,8.01,clear sky
148,Mananjary,MG,-21.2167,48.3333,77.49,91,100,9.91,moderate rain
149,Marawi,PH,7.9986,124.2928,64.65,95,95,1.34,light rain
150,Bambous Virieux,MU,-20.3428,57.7575,81.21,83,75,11.5,broken clouds
151,Kodiak,US,57.79,-152.4072,38.71,93,100,0.0,fog
152,Yellowknife,CA,62.456,-114.3525,-15.59,82,75,10.36,light snow
153,Tommot,RU,58.9564,126.2925,5.79,93,100,8.25,light snow
154,Mahajanga,MG,-15.7167,46.3167,77.02,94,40,4.61,scattered clouds
155,Parczew,PL,51.6402,22.9006,29.01,94,85,13.13,light snow
156,Tasiilaq,GL,65.6145,-37.6368,8.76,46,3,16.75,clear sky
157,Timizart,DZ,36.8,4.2667,41.43,82,13,4.97,few clouds
158,Beatrice,US,40.2681,-96.747,48.0,39,0,12.66,clear sky
159,Wewak,PG,-3.5534,143.6268,80.58,78,98,3.76,overcast clouds
160,Surin,TH,14.8818,103.4936,73.24,99,8,4.56,clear sky
161,Arroyo,ES,41.6096,-4.7969,33.6,77,0,6.91,clear sky
162,Magnor,SE,59.9511,12.1996,29.28,98,100,1.43,overcast clouds
163,Filingue,NE,14.3521,3.3168,65.1,16,28,11.45,scattered clouds
164,Nikolskoye,RU,59.7035,30.7861,19.29,100,95,0.87,overcast clouds
165,Marzuq,YE,14.4,46.4667,57.92,65,9,1.68,clear sky
166,Tygda,RU,53.1167,126.3333,-9.4,96,5,4.59,clear sky
167,Carnarvon,AU,-24.8667,113.6333,75.27,64,25,10.36,scattered clouds
168,Olinda,BR,-8.0089,-34.8553,82.13,74,40,8.05,scattered clouds
169,Ugoofaaru,MV,5.6667,73.0,80.98,64,100,7.14,overcast clouds
170,Seoul,KR,37.5683,126.9778,29.77,62,0,4.61,clear sky
171,Kostino,RU,58.9097,53.2691,9.0,95,98,5.59,overcast clouds
172,Nizwa,OM,22.9333,57.5333,57.7,53,0,2.24,clear sky
173,Chokwe,MZ,-24.5333,32.9833,70.48,83,1,8.57,clear sky
174,Norman Wells,CA,65.282,-126.8329,-2.16,65,75,10.36,broken clouds
175,Longonjo,AO,-12.9067,15.2533,61.0,74,59,1.95,broken clouds
176,Nara,JP,34.6851,135.8049,40.24,68,100,1.34,overcast clouds
177,San Quintin,MX,30.4833,-115.95,62.78,58,0,6.06,clear sky
178,Esmeraldas,BR,-19.7625,-44.3139,83.26,81,60,3.38,broken clouds
179,Grand Gaube,MU,-20.0064,57.6608,81.37,82,42,5.99,scattered clouds
180,Chuguyevka,RU,44.1653,133.8633,-10.3,99,34,2.57,scattered clouds
181,Buraydah,SA,26.326,43.975,46.85,31,0,7.92,clear sky
182,Karlovac,HR,45.4872,15.5478,35.15,86,98,2.68,overcast clouds
183,Zabaykalsk,RU,49.6333,117.3167,-8.5,100,44,0.94,scattered clouds
184,Clarksdale,US,34.2001,-90.5709,37.56,51,0,5.75,clear sky
185,Pabna,BD,24.0,89.25,61.27,61,10,3.6,clear sky
186,Comodoro Rivadavia,AR,-45.8667,-67.5,78.66,22,75,26.46,broken clouds
187,Korla,CN,41.7597,86.1469,23.74,62,55,5.06,broken clouds
188,Bilibino,RU,68.0546,166.4372,-39.64,98,93,1.63,overcast clouds
189,Fort Frances,CA,48.5999,-93.4003,-1.98,72,20,1.01,few clouds
