City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
263,Kalmunai,LK,70.68,few clouds,7.4167,81.8167,VS Villa
265,Samarai,PG,82.94,broken clouds,-10.6167,150.6667,Nuli Sapi
267,Muswellbrook,AU,71.24,scattered clouds,-32.2667,150.9,Wayfarer Motel
268,Hilo,US,80.33,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
270,Perth,AU,83.08,clear sky,-31.9333,115.8333,Beatty Lodge
271,Vilhena,BR,75.42,few clouds,-12.7406,-60.1458,Hotel Mirage
273,Kismayo,SO,77.97,overcast clouds,-0.3582,42.5454,Agan-Hotel
276,Moron,AR,71.35,moderate rain,-34.6534,-58.6198,Hotel Morón
277,Dzilam Gonzalez,MX,74.64,broken clouds,21.2833,-88.9333,posadas
278,Pochutla,MX,84.81,clear sky,15.7432,-96.4661,Hotel Posada San Jose
281,Cayenne,GF,76.08,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
289,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
293,Sao Miguel Do Araguaia,BR,76.03,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
297,Belmonte,BR,81.1,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
302,Gorontalo,ID,75.94,broken clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
303,Almeirim,BR,79.86,broken clouds,-1.5233,-52.5817,Ricácio Hotel
306,Sokoni,TZ,79.09,moderate rain,-6.4333,39.55,Ujamaa Beach Resort
309,Cam Ranh,VN,71.56,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
317,Daru,PG,78.82,overcast clouds,-9.0763,143.2092,Daru Lodge
318,Itapipoca,BR,76.42,overcast clouds,-3.4944,-39.5786,Hotel Pilotos
320,Chuy,UY,76.93,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
321,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
323,Saldanha,ZA,87.85,broken clouds,-33.0117,17.9442,Blue Bay Lodge
325,Porto Seguro,BR,81.12,broken clouds,-16.4497,-39.0647,Porto Cálem Praia Hotel
328,Lethem,GY,84.7,overcast clouds,3.3803,-59.7968,Savannah Inn
329,Ixtapa,MX,79.23,clear sky,20.7,-105.2,Hotel Plaza Providencia
